provider.name,dataProvider.name,count
National_Archives_and_Records_Administration,"National Archives at Washington, DC - Textual Reference",0
National_Archives_and_Records_Administration,National Archives at College Park - Still Pictures,0
National_Archives_and_Records_Administration,National Archives at New York,0
National_Archives_and_Records_Administration,National Archives at College Park - Textual Reference,0
National_Archives_and_Records_Administration,National Archives at Boston,0
National_Archives_and_Records_Administration,National Archives at College Park - Electronic Records,0
National_Archives_and_Records_Administration,National Archives at College Park - Cartographic,0
National_Archives_and_Records_Administration,National Archives at Fort Worth,0
National_Archives_and_Records_Administration,National Archives at Kansas City,0
National_Archives_and_Records_Administration,William J. Clinton Library,0
National_Archives_and_Records_Administration,National Archives at Philadelphia,0
National_Archives_and_Records_Administration,Gerald R. Ford Library,0
National_Archives_and_Records_Administration,National Archives at College Park - Motion Pictures,0
National_Archives_and_Records_Administration,National Archives at Seattle,1
National_Archives_and_Records_Administration,National Archives at College Park - FOIA,0
National_Archives_and_Records_Administration,Harry S. Truman Library,0
National_Archives_and_Records_Administration,Jimmy Carter Library,0
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,0
National_Archives_and_Records_Administration,National Archives at Chicago,0
National_Archives_and_Records_Administration,Ronald Reagan Library,0
National_Archives_and_Records_Administration,Center for Legislative Archives,0
National_Archives_and_Records_Administration,Richard Nixon Library,0
National_Archives_and_Records_Administration,Presidential Materials Division,0
National_Archives_and_Records_Administration,George W. Bush Library,0
National_Archives_and_Records_Administration,National Archives at Atlanta,0
National_Archives_and_Records_Administration,National Archives at Denver,0
National_Archives_and_Records_Administration,John F. Kennedy Library,0
National_Archives_and_Records_Administration,National Archives at Riverside,0
National_Archives_and_Records_Administration,National Archives at St. Louis,0
National_Archives_and_Records_Administration,National Archives at San Francisco,0
National_Archives_and_Records_Administration,Lyndon Baines Johnson Library,0
National_Archives_and_Records_Administration,Dwight D. Eisenhower Library,1
National_Archives_and_Records_Administration,George Bush Library,0
National_Archives_and_Records_Administration,National Personnel Records Center - Military Personnel Records,0
National_Archives_and_Records_Administration,Herbert Hoover Library,0
National_Archives_and_Records_Administration,Gerald R. Ford Museum,0
National_Archives_and_Records_Administration,National Personnel Records Center - Civilian Personnel Records,0
National_Archives_and_Records_Administration,National Archives at Kansas City\[A\],0
National_Archives_and_Records_Administration,Richard Nixon Library - College Park,0
Smithsonian_Institution,NMNH - Botany Dept.,0
Smithsonian_Institution,National Museum of American History,0
Smithsonian_Institution,NMNH - Anthropology Dept.,0
Smithsonian_Institution,"Cooper Hewitt, Smithsonian Design Museum",0
Smithsonian_Institution,NMNH - Invertebrate Zoology Dept.,0
Smithsonian_Institution,NMNH - Entomology Dept.,0
